2023-06-11 08:00:58.875+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Binarize node property features :: Start
2023-06-11 08:00:58.879+0000 INFO  [gds-2] HashGNN :: Binarize node property features 25%
2023-06-11 08:00:58.879+0000 INFO  [gds-1] HashGNN :: Binarize node property features 50%
2023-06-11 08:00:58.879+0000 INFO  [gds-4] HashGNN :: Binarize node property features 74%
2023-06-11 08:00:58.880+0000 INFO  [gds-3] HashGNN :: Binarize node property features 100%
2023-06-11 08:00:58.880+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Binarize node property features :: Hyperplane scalar products have mean 76.7299 and standard deviation 1740.3991. A threshold for binarization may be set to the mean plus a few standard deviations.
2023-06-11 08:00:58.880+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Binarize node property features :: Finished
2023-06-11 08:00:58.881+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Density (number of active features) of binary input features is 2.1531.
2023-06-11 08:00:58.881+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Start
2023-06-11 08:00:58.881+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 :: Start
2023-06-11 08:00:58.882+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 25%
2023-06-11 08:00:58.882+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 50%
2023-06-11 08:00:58.882+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 75%
2023-06-11 08:00:58.883+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 100%
2023-06-11 08:00:58.883+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Precompute hashes 1 of 2 :: Finished
2023-06-11 08:00:58.883+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 :: Start
2023-06-11 08:00:58.884+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 0%
2023-06-11 08:00:58.884+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 1%
2023-06-11 08:00:58.885+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 2%
2023-06-11 08:00:58.885+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 3%
2023-06-11 08:00:58.885+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 24%
2023-06-11 08:00:58.886+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 25%
2023-06-11 08:00:58.886+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 26%
2023-06-11 08:00:58.886+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 27%
2023-06-11 08:00:58.887+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 28%
2023-06-11 08:00:58.887+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 49%
2023-06-11 08:00:58.887+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 50%
2023-06-11 08:00:58.887+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 51%
2023-06-11 08:00:58.888+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 52%
2023-06-11 08:00:58.888+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 53%
2023-06-11 08:00:58.888+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 74%
2023-06-11 08:00:58.889+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 75%
2023-06-11 08:00:58.889+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 76%
2023-06-11 08:00:58.889+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 77%
2023-06-11 08:00:58.890+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 78%
2023-06-11 08:00:58.890+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 99%
2023-06-11 08:00:58.890+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 100%
2023-06-11 08:00:58.891+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Perform min-hashing 1 of 2 :: Finished
2023-06-11 08:00:58.891+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: After iteration 0 average node embedding density (number of active features) is 2.0348.
2023-06-11 08:00:58.891+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 :: Start
2023-06-11 08:00:58.892+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 25%
2023-06-11 08:00:58.892+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 50%
2023-06-11 08:00:58.892+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 75%
2023-06-11 08:00:58.893+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 100%
2023-06-11 08:00:58.893+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Precompute hashes 2 of 2 :: Finished
2023-06-11 08:00:58.893+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 :: Start
2023-06-11 08:00:58.894+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 0%
2023-06-11 08:00:58.894+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 1%
2023-06-11 08:00:58.894+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 2%
2023-06-11 08:00:58.895+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 3%
2023-06-11 08:00:58.895+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 24%
2023-06-11 08:00:58.895+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 25%
2023-06-11 08:00:58.896+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 26%
2023-06-11 08:00:58.896+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 27%
2023-06-11 08:00:58.896+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 28%
2023-06-11 08:00:58.897+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 49%
2023-06-11 08:00:58.897+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 50%
2023-06-11 08:00:58.897+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 51%
2023-06-11 08:00:58.898+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 52%
2023-06-11 08:00:58.898+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 53%
2023-06-11 08:00:58.898+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 74%
2023-06-11 08:00:58.899+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 75%
2023-06-11 08:00:58.899+0000 INFO  [gds-2] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 76%
2023-06-11 08:00:58.899+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 77%
2023-06-11 08:00:58.900+0000 INFO  [gds-4] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 78%
2023-06-11 08:00:58.900+0000 INFO  [gds-3] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 99%
2023-06-11 08:00:58.900+0000 INFO  [gds-1] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 100%
2023-06-11 08:00:58.901+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Perform min-hashing 2 of 2 :: Finished
2023-06-11 08:00:58.901+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: After iteration 1 average node embedding density (number of active features) is 2.0679.
2023-06-11 08:00:58.901+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Propagate embeddings :: Finished
2023-06-11 08:00:58.902+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] HashGNN :: Finished
2023-06-11 08:00:58.902+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: HashGNN 100%
2023-06-11 08:00:58.902+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: HashGNN :: Finished
2023-06-11 08:00:58.903+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Execute node property steps :: Finished
2023-06-11 08:00:58.904+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Start
2023-06-11 08:00:58.904+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Start
2023-06-11 08:00:58.904+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Initialize random neighbors :: Start
2023-06-11 08:00:58.952+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Initialize random neighbors 100%
2023-06-11 08:00:58.953+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Initialize random neighbors :: Finished
2023-06-11 08:00:58.954+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Graph init took 49 ms
2023-06-11 08:00:58.954+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Start
2023-06-11 08:00:58.955+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 1 of 100 :: Start
2023-06-11 08:00:58.957+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 1 of 100 100%
2023-06-11 08:00:58.957+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 1 of 100 :: Finished
2023-06-11 08:00:58.958+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Reverse old and new neighbors 1 of 100 :: Start
2023-06-11 08:00:58.959+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Reverse old and new neighbors 1 of 100 100%
2023-06-11 08:00:58.959+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Reverse old and new neighbors 1 of 100 :: Finished
2023-06-11 08:00:58.959+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Join neighbors 1 of 100 :: Start
2023-06-11 08:00:59.317+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Join neighbors 1 of 100 100%
2023-06-11 08:00:59.318+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Join neighbors 1 of 100 :: Finished
2023-06-11 08:00:59.319+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Graph iteration 1 took 364 ms
2023-06-11 08:00:59.320+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 2 of 100 :: Start
2023-06-11 08:00:59.321+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 2 of 100 100%
2023-06-11 08:00:59.322+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Split old and new neighbors 2 of 100 :: Finished
2023-06-11 08:00:59.322+0000 INFO  [neo4j.BoltWorker-73 [bolt-8292 - /172.18.0.1:59004]] Link Prediction Predict Pipeline :: Approximate link prediction :: Knn :: Iteration :: Reverse old and new neighbors 2 of 100 :: Start
